0,0,39384
0,1,1862
0,2,4515
0,3,64
1,0,14769
1,1,1693
1,2,4559
1,3,442
2,0,13039
2,1,1867
2,2,4310
2,3,50
3,0,30744
3,1,4750
3,2,10665
3,3,499
4,0,21602
4,1,2359
4,2,3933
4,3,40
5,0,20528
5,1,5493
5,2,4586
5,3,99
6,0,19840
6,1,2761
6,2,4392
6,3,55
7,0,37928
7,1,5630
7,2,4821
7,3,48
8,0,31253
8,1,5967
8,2,4437
8,3,83
9,0,16731
9,1,2739
9,2,3562
9,3,105
10,0,47604
10,1,6712
10,2,6786
10,3,860
11,0,22507
11,1,4171
11,2,5438
11,3,920
12,0,19621
12,1,3071
12,2,2976
12,3,382
13,0,57699
13,1,17976
13,2,3187
13,3,128
14,0,45796
14,1,6283
14,2,5219
14,3,342
15,0,32950
15,1,4491
15,2,4847
15,3,124
16,0,23206
16,1,3668
16,2,3926
16,3,89
17,0,49063
17,1,7426
17,2,5942
17,3,173
18,0,30551
18,1,6420
18,2,9015
18,3,124
19,0,51770
19,1,12687
19,2,3631
19,3,209
20,0,62498
20,1,10937
20,2,4856
20,3,223
21,0,35905
21,1,6442
21,2,3618
21,3,247
22,0,42914
22,1,12428
22,2,3787
22,3,263
23,0,70847
23,1,8413
23,2,4303
23,3,296
24,0,64393
24,1,5253
24,2,3653
24,3,289
25,0,150122
25,1,8889
25,2,3693
25,3,175
26,0,353413
26,1,10885
26,2,7938
26,3,843
27,0,711599
27,1,19700
27,2,4180
27,3,540
28,0,540179
28,1,6015
28,2,3561
28,3,136
29,0,637531
29,1,24853
29,2,7167
29,3,761
30,0,758084
30,1,23050
30,2,4467
30,3,302
31,0,140689
31,1,19969
31,2,6328
31,3,311
32,0,60000
32,1,3523
32,2,5958
32,3,85
33,0,86200
33,1,12035
33,2,8471
33,3,336
34,0,79702
34,1,17913
34,2,10748
34,3,1136
35,0,80764
35,1,8368
35,2,8977
35,3,647
36,0,82939
36,1,13039
36,2,8168
36,3,912
37,0,70511
37,1,26110
37,2,10135
37,3,1221
38,0,57177
38,1,12534
38,2,4753
38,3,394
39,0,45626
39,1,12664
39,2,4586
39,3,876
40,0,63922
40,1,2570
40,2,4968
40,3,203
41,0,43983
41,1,2407
41,2,4219
41,3,93
42,0,77832
42,1,11538
42,2,9138
42,3,1644
43,0,61259
43,1,7392
43,2,4467
43,3,488
44,0,57730
44,1,4645
44,2,4005
44,3,706
45,0,33904
45,1,2642
45,2,4006
45,3,302
46,0,46131
46,1,10519
46,2,4435
46,3,275
47,0,79367
47,1,74376
47,2,7932
47,3,867
48,0,52328
48,1,93723
48,2,7149
48,3,632
49,0,73015
49,1,73940
49,2,10840
49,3,1844
50,0,41507
50,1,86455
50,2,4467
50,3,646
51,0,34354
51,1,102993
51,2,4167
51,3,296
52,0,29136
52,1,96790
52,2,3530
52,3,74
53,0,58927
53,1,78244
53,2,7728
53,3,285
54,0,42230
54,1,99151
54,2,12961
54,3,248
55,0,37096
55,1,113487
55,2,5162
55,3,68
56,0,31530
56,1,74676
56,2,7855
56,3,279
57,0,40779
57,1,25983
57,2,15831
57,3,733
58,0,30869
58,1,16644
58,2,6407
58,3,501
59,0,30478
59,1,3537
59,2,8263
59,3,694
60,0,58967
60,1,5171
60,2,4962
60,3,1991
61,0,44252
61,1,11749
61,2,6321
61,3,135
62,0,18732
62,1,4185
62,2,4672
62,3,239
63,0,25933
63,1,5807
